Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Barcelona,19,14,1,4,52,20,32,43,2.26,51.3,16.3,35.0,1.84,19,14,3,2,50,19,31,45,2.37,40.2,25.6,14.6,0.77
2,Real Madrid,19,16,1,2,45,19,26,49,2.58,46.6,18.2,28.5,1.5,19,10,5,4,33,19,14,35,1.84,28.6,24.6,4.0,0.21
3,Atlético Madrid,19,14,4,1,42,15,27,46,2.42,40.7,14.6,26.2,1.38,19,8,6,5,26,15,11,30,1.58,23.9,18.8,5.1,0.27
