Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Player,Span,Nation,Pos,Squad,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Iñigo Martínez,2024-25,es ESP,DF,Barcelona,27.7,45,1.63,38,1,1,3,2,0,9,0.33,6,1,1,0,1,0
Gonçalo Inácio,2025-26,pt POR,DF,Sporting CP,13.5,23,1.7,21,0,0,0,1,1,4,0.3,3,0,0,0,1,0
