Player;Nation;Pos;Squad;Comp;Age;Born;Playing Time_MP;Playing Time_Starts;Playing Time_Min;Playing Time_90s;Performance_Gls;Performance_Ast;Performance_G+A;Performance_G-PK;Performance_PK;Performance_PKatt;Performance_CrdY;Performance_CrdR;Expected_xG;Expected_npxG;Expected_xAG;Expected_npxG+xAG;Progression_PrgC;Progression_PrgP;Progression_PrgR;Per 90 Minutes_Gls;Per 90 Minutes_Ast;Per 90 Minutes_G+A;Per 90 Minutes_G-PK;Per 90 Minutes_G+A-PK;Per 90 Minutes_xG;Per 90 Minutes_xAG;Per 90 Minutes_xG+xAG;Per 90 Minutes_npxG;Per 90 Minutes_npxG+xAG;cluster;distance_to_pedri;distance_norm;minutes_penalty;minutes_penalty_norm;replacement_score
Aurélien Tchouaméni;fr FRA;MF;Real Madrid;es La Liga;25-357;2000.0;18;17;1475;16.4;0;0;0;0;0;0;5;0;1.3;1.3;2.2;3.5;16.0;89.0;16.0;0.0;0.0;0.0;0.0;0.0;0.08;0.14;0.22;0.08;0.22;2;5.11097296417994;0.6637200549847484;7.297091005160418;0.7972637837376881;0.7171375464859243
Lucas Paquetá;br BRA;MF,FW;West Ham United;eng Premier League;28-145;1997.0;18;18;1511;16.8;4;1;5;2;2;2;7;1;2.8;1.3;2.3;3.6;10.0;95.0;59.0;0.24;0.06;0.3;0.12;0.18;0.17;0.14;0.31;0.07;0.21;2;5.050450138931188;0.652671227865222;7.321188556739478;0.8138659251291589;0.7171491067707968
Tyler Morton;eng ENG;MF;Lyon;fr Ligue 1;23-080;2002.0;16;16;1404;15.6;1;1;2;1;0;0;3;1;1.0;1.0;1.4;2.5;28.0;67.0;11.0;0.06;0.06;0.13;0.06;0.13;0.07;0.1;0.17;0.07;0.17;2;5.258682776141874;0.6906854216793381;7.247792581767846;0.7632993623791586;0.7197309979592663
Éderson;br BRA;MF;Atalanta;it Serie A;26-196;1999.0;17;15;1222;13.6;0;0;0;0;0;0;1;0;1.6;1.6;0.7;2.3;19.0;86.0;35.0;0.0;0.0;0.0;0.0;0.0;0.12;0.05;0.17;0.12;0.17;2;5.614352808561856;0.7556152507752756;7.109062135687172;0.6677202545359124;0.7204572522795303
Manu Koné;fr FRA;MF;Roma;it Serie A;24-247;2001.0;21;21;1882;20.9;2;1;3;2;0;0;2;0;1.8;1.8;1.3;3.1;29.0;141.0;39.0;0.1;0.05;0.14;0.1;0.14;0.09;0.07;0.16;0.09;0.16;2;4.565627300695421;0.5641637317057364;7.5406215286571525;0.9650454843377219;0.7245164327585306
Kaishu Sano;jp JPN;MF;Mainz 05;de Bundesliga;25-020;2000.0;18;18;1619;18.0;1;1;2;1;0;0;1;0;0.7;0.7;1.6;2.3;25.0;96.0;31.0;0.06;0.06;0.11;0.06;0.11;0.04;0.1;0.14;0.04;0.14;2;4.955057693881882;0.6352567296238261;7.3901814282264295;0.8613989453894115;0.7257136159300603
Alex Scott;eng ENG;MF;Bournemouth;eng Premier League;22-151;2003.0;21;18;1410;15.7;1;0;1;1;0;0;2;0;1.3;1.3;1.3;2.5;31.0;50.0;28.0;0.06;0.0;0.06;0.06;0.06;0.08;0.08;0.16;0.08;0.16;2;5.308149145077916;0.6997158222985873;7.252053951852814;0.7662352568595558;0.7263235961229748
Moi Gómez;es ESP;MF;Osasuna;es La Liga;31-210;1994.0;16;10;908;10.1;0;0;0;0;0;0;1;0;0.2;0.2;0.7;0.9;12.0;81.0;20.0;0.0;0.0;0.0;0.0;0.0;0.02;0.08;0.1;0.02;0.1;2;6.415526197620126;0.9018745543039466;6.812345094177479;0.4632954082920504;0.7264428958991881
Teun Koopmeiners;nl NED;DF,MF;Juventus;it Serie A;27-325;1998.0;19;13;1245;13.8;0;0;0;0;0;0;5;0;0.9;0.9;0.6;1.5;29.0;76.0;24.0;0.0;0.0;0.0;0.0;0.0;0.07;0.05;0.11;0.07;0.11;2;5.626325707009353;0.7578009796225713;7.1276936993473985;0.6805565733302279;0.726903217105634
Giovanni Di Lorenzo;it ITA;DF,MF;Napoli;it Serie A;32-168;1993.0;21;21;1890;21.0;1;1;2;1;0;0;1;0;1.7;1.7;2.0;3.7;28.0;95.0;91.0;0.05;0.05;0.1;0.05;0.1;0.09;0.1;0.19;0.09;0.19;2;4.630680328527018;0.5760395761521733;7.544861068658458;0.9679663388612836;0.7328102812358174
Nikola Vlašić;hr CRO;MF,FW;Torino;it Serie A;28-107;1997.0;21;20;1619;18.0;5;2;7;2;3;3;4;0;4.1;1.7;1.3;3.0;30.0;74.0;77.0;0.28;0.11;0.39;0.11;0.22;0.24;0.07;0.31;0.1;0.18;2;5.031502670133721;0.6492122467909676;7.3901814282264295;0.8613989453894115;0.7340869262303451
Ismaël Koné;ca CAN;MF;Sassuolo;it Serie A;23-227;2002.0;18;17;1426;15.8;3;0;3;3;0;0;3;1;1.5;1.5;1.0;2.5;32.0;54.0;27.0;0.19;0.0;0.19;0.19;0.19;0.1;0.06;0.16;0.1;0.16;2;5.400298081022737;0.716538197300383;7.2633296174768365;0.7740036890323756;0.7395243939931802
Santi Comesaña;es ESP;MF;Villarreal;es La Liga;29-106;1996.0;18;16;1318;14.6;2;2;4;2;0;0;3;1;2.9;2.9;1.2;4.0;15.0;70.0;44.0;0.14;0.14;0.27;0.14;0.27;0.21;0.08;0.29;0.21;0.29;2;5.6165846674968405;0.756022690834897;7.1846291527173145;0.719782568715428;0.7415266419871094
Eric García;es ESP;DF,MF;Barcelona;es La Liga;25-010;2001.0;20;18;1558;17.3;1;0;1;1;0;0;2;0;2.4;2.4;1.3;3.7;16.0;111.0;30.0;0.06;0.0;0.06;0.06;0.06;0.15;0.08;0.23;0.15;0.23;2;5.216491162824494;0.6829830740192335;7.351799869057777;0.8349557579953526;0.7437721476096811
Cesare Casadei;it ITA;MF;Torino;it Serie A;23-009;2003.0;19;13;1286;14.3;2;0;2;2;0;0;5;0;2.4;2.2;1.1;3.3;16.0;60.0;30.0;0.14;0.0;0.14;0.14;0.14;0.17;0.08;0.25;0.16;0.24;2;5.718328366615701;0.7745966509473852;7.160069207596127;0.7028618587366173;0.745902734063078
Casemiro;br BRA;MF;Manchester Utd;eng Premier League;33-330;1992.0;20;19;1381;15.3;4;1;5;4;0;0;7;1;3.1;3.1;2.0;5.1;10.0;77.0;24.0;0.26;0.07;0.33;0.26;0.33;0.21;0.14;0.35;0.21;0.35;2;5.599134036738194;0.7528369670755299;7.231287004327616;0.7519277535453099;0.752473281663442
Unai López;es ESP;MF;Rayo Vallecano;es La Liga;30-081;1995.0;16;14;1027;11.4;0;3;3;0;0;0;7;1;0.5;0.5;1.0;1.5;10.0;78.0;14.0;0.0;0.26;0.26;0.0;0.26;0.05;0.09;0.13;0.05;0.13;2;6.377982521168741;0.8950207171137976;6.93537044601511;0.54805440462588;0.7562341921186305
Valentin Rongier;fr FRA;MF;Rennes;fr Ligue 1;31-043;1994.0;17;17;1485;16.5;1;2;3;1;0;0;2;0;0.7;0.7;1.9;2.6;14.0;105.0;19.0;0.06;0.12;0.18;0.06;0.18;0.04;0.12;0.17;0.04;0.17;2;5.453588362595571;0.7262666775196911;7.303843225277705;0.8019157631193172;0.7565263117595415
Mateus Fernandes;pt POR;MF,FW;West Ham United;eng Premier League;21-193;2004.0;20;19;1583;17.6;2;2;4;2;0;0;2;0;1.0;1.0;1.3;2.3;25.0;69.0;34.0;0.11;0.11;0.23;0.11;0.23;0.06;0.08;0.14;0.06;0.14;2;5.352197772759097;0.7077571797550752;7.367708572374371;0.8459161471017129;0.7630207666937303
Crysencio Summerville;nl NED;FW,MF;West Ham United;eng Premier League;24-081;2001.0;17;15;1229;13.7;1;1;2;1;0;0;3;0;2.0;2.0;0.5;2.5;26.0;38.0;81.0;0.07;0.07;0.15;0.07;0.15;0.16;0.04;0.2;0.16;0.2;2;5.988922938500287;0.8239954130168528;7.114769448366463;0.6716523391610263;0.7630581834745221
Paul Nebel;de GER;MF;Mainz 05;de Bundesliga;23-101;2002.0;14;12;1028;11.4;1;0;1;1;0;0;2;2;2.3;2.3;0.8;3.2;14.0;29.0;80.0;0.09;0.0;0.09;0.09;0.09;0.23;0.08;0.31;0.23;0.31;2;6.44275754044821;0.906845809328864;6.9363427358340495;0.548724269072256;0.7635971932262208
Adrien Thomasson;fr FRA;MF;Lens;fr Ligue 1;32-040;1993.0;17;17;1488;16.5;2;5;7;2;0;0;6;0;3.5;3.5;3.1;6.5;8.0;67.0;62.0;0.12;0.3;0.42;0.12;0.42;0.22;0.19;0.41;0.22;0.41;2;5.513700063883336;0.7372404513423669;7.305860032684009;0.8033052537324599;0.7636663722984041
Antoine Bernede;fr FRA;MF;Hellas Verona;it Serie A;26-238;1999.0;20;18;1527;17.0;1;2;3;1;0;0;1;0;0.7;0.7;0.9;1.6;32.0;61.0;47.0;0.06;0.12;0.18;0.06;0.18;0.05;0.06;0.1;0.05;0.1;2;5.479191586634893;0.7309407090929083;7.331714969726466;0.8211181555552098;0.767011687677829
Martín Zubimendi;es ESP;MF;Arsenal;eng Premier League;26-351;1999.0;22;21;1847;20.5;3;1;4;3;0;0;4;0;1.9;1.9;1.1;2.9;29.0;118.0;25.0;0.15;0.05;0.19;0.15;0.19;0.1;0.05;0.15;0.1;0.15;2;5.0567035364730835;0.6538128254041027;7.521859252201629;0.9521191102403987;0.7731353393386211
