scenario,partidos,xg_for_media,posesion_for_media
pedri_on,17,2.123529411764706,67.52941176470588
pedri_off,8,2.1125,63.75
lamine_on,19,2.0842105263157897,65.36842105263158
lamine_off,6,2.233333333333333,69.33333333333333
both_on,11,2.0636363636363635,66.54545454545455
