Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,cluster,distance_to_lamine,distance_norm,minutes_penalty,minutes_penalty_norm,replacement_score
Carlos Vicente,es ESP,"MF,FW",Alavés,es La Liga,26-271,1999.0,20,10,1176,13.1,4,0,4,1,3,3,1,0,3.3,1.0,3.2,4.2,41.0,26.0,123.0,0.31,0.0,0.31,0.08,0.08,0.28,0.27,0.54,0.08,0.35,3,4.157823775941645,0.7235193552282709,7.0707241072602764,0.463974465643207,0.6456558883527517
Leandro Trossard,be BEL,FW,Arsenal,eng Premier League,31-046,1994.0,18,12,1176,13.1,5,4,9,5,0,0,1,0,4.0,4.0,2.2,6.2,39.0,50.0,127.0,0.38,0.31,0.69,0.38,0.69,0.32,0.18,0.49,0.32,0.49,3,4.171776451031002,0.7274121463101292,7.0707241072602764,0.463974465643207,0.6483808421100524
Michael Olise,fr FRA,FW,Bayern Munich,de Bundesliga,24-038,2001.0,18,14,1370,15.2,10,13,23,10,0,0,3,0,7.1,7.1,9.2,16.4,88.0,93.0,199.0,0.66,0.85,1.51,0.66,1.51,0.51,0.66,1.17,0.51,1.17,3,3.9579190942873224,0.6677460245241632,7.223295679562314,0.6210568405292314,0.6537392693256836
Romano Schmid,at AUT,"MF,FW",Werder Bremen,de Bundesliga,25-357,2000.0,17,17,1484,16.5,2,5,7,0,2,3,4,0,3.8,1.4,5.1,6.5,38.0,90.0,99.0,0.12,0.3,0.42,0.0,0.3,0.26,0.35,0.61,0.1,0.45,3,3.837647651264423,0.6341903373313246,7.3031700512368,0.7032927105923577,0.6549210493096345
Ilan Kebbal,dz ALG,"FW,MF",Paris FC,fr Ligue 1,27-194,1998.0,17,17,1490,16.6,7,4,11,5,2,2,3,0,4.2,2.7,2.9,5.6,60.0,112.0,110.0,0.42,0.24,0.66,0.3,0.54,0.27,0.19,0.46,0.17,0.36,3,3.838526026836739,0.634435403784355,7.307202314764738,0.707444188627079,0.6563380392371723
Callum Hudson-Odoi,eng ENG,FW,Nottingham Forest,eng Premier League,25-073,2000.0,20,12,1210,13.4,3,1,4,3,0,0,0,0,1.8,1.8,2.2,4.0,63.0,41.0,139.0,0.22,0.07,0.3,0.22,0.3,0.15,0.18,0.32,0.15,0.32,3,4.169408638345698,0.7267515274649378,7.099201743553092,0.49329404774176666,0.6567142835479863
Antoine Semenyo,gh GHA,"FW,MF",Bournemouth,eng Premier League,26-012,2000.0,20,20,1798,20.0,10,3,13,9,1,2,6,0,6.7,5.1,2.1,7.2,73.0,68.0,126.0,0.5,0.15,0.65,0.45,0.6,0.34,0.11,0.44,0.26,0.36,3,3.5687875275696177,0.5591784643332345,7.4949862339505335,0.9007799689827749,0.6616589157280965
Romain Del Castillo,fr FRA,"FW,MF",Brest,fr Ligue 1,29-296,1996.0,17,17,1369,15.2,6,2,8,1,5,7,1,1,6.1,0.6,4.9,5.4,33.0,46.0,108.0,0.39,0.13,0.53,0.07,0.2,0.41,0.32,0.73,0.04,0.36,3,4.002292487598236,0.6801261845039709,7.222566018822171,0.6203056072542941,0.6621800113290678
Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,25-353,2000.0,20,19,1433,15.9,7,3,10,5,2,3,2,0,6.4,4.0,4.6,8.6,41.0,66.0,86.0,0.44,0.19,0.63,0.31,0.5,0.42,0.3,0.72,0.26,0.56,3,3.930764157092974,0.6601698072997532,7.2682230211595655,0.6673124660624135,0.6623126049285513
Bazoumana Touré,ci CIV,"FW,MF",Hoffenheim,de Bundesliga,19-323,2006.0,15,14,1110,12.3,2,4,6,2,0,0,1,0,2.0,2.0,2.4,4.4,55.0,34.0,117.0,0.16,0.32,0.49,0.16,0.49,0.17,0.2,0.37,0.17,0.37,3,4.362155019703846,0.7805276950891521,7.01301578963963,0.4045599925159147,0.6677373843171808
Álex Berenguer,es ESP,"FW,MF",Athletic Club,es La Liga,30-199,1995.0,18,16,1286,14.3,2,2,4,2,0,0,3,0,2.7,2.7,3.6,6.3,40.0,44.0,114.0,0.14,0.14,0.28,0.14,0.28,0.2,0.26,0.46,0.2,0.46,3,4.240137081148405,0.746484736302154,7.160069207596127,0.5559610679533815,0.6893276357975222
Matteo Politano,it ITA,"MF,FW",Napoli,it Serie A,32-169,1993.0,21,15,1311,14.6,0,3,3,0,0,0,1,0,1.4,1.4,2.6,4.0,76.0,38.0,114.0,0.0,0.21,0.21,0.0,0.21,0.11,0.2,0.3,0.11,0.3,3,4.234237867206929,0.7448388578398316,7.179307969504034,0.5757686268895776,0.6941177885547554
Giuliano Simeone,ar ARG,"MF,FW",Atlético Madrid,es La Liga,23-032,2002.0,19,16,1421,15.8,2,5,7,2,0,0,1,0,3.2,3.2,3.5,6.7,44.0,36.0,138.0,0.13,0.32,0.44,0.13,0.44,0.21,0.23,0.44,0.21,0.44,3,4.1585690326722435,0.7237272815747234,7.259819610363186,0.6586606071012637,0.7042072792326854
Diego Moreira,be BEL,"DF,FW",Strasbourg,fr Ligue 1,21-166,2004.0,17,15,1307,14.5,2,2,4,2,0,0,3,0,0.8,0.8,4.1,4.9,43.0,60.0,130.0,0.14,0.14,0.28,0.14,0.28,0.06,0.3,0.36,0.06,0.36,3,4.333441820174552,0.7725167232616411,7.176254532017144,0.5726249140420947,0.7125491804957772
Moses Simon,ng NGA,"FW,MF",Paris FC,fr Ligue 1,30-191,1995.0,16,14,1146,12.7,3,2,5,3,0,0,0,0,2.2,2.2,2.1,4.3,61.0,26.0,121.0,0.24,0.16,0.39,0.24,0.39,0.18,0.16,0.34,0.18,0.34,3,4.542499077140735,0.8308436190220457,7.044905117129371,0.43739213299939994,0.7128081732152519
Matìas Soulé,ar ARG,"MF,FW",Roma,it Serie A,22-279,2003.0,21,18,1385,15.4,6,4,10,6,0,0,1,0,2.9,2.9,2.1,5.0,56.0,84.0,122.0,0.39,0.26,0.65,0.39,0.65,0.19,0.14,0.33,0.19,0.33,3,4.2560264261144285,0.7509178575483791,7.234177179749849,0.6322600539849912,0.7153205164793628
Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,23-328,2002.0,17,16,1385,15.4,3,2,5,3,0,0,2,0,3.6,3.6,2.7,6.3,45.0,76.0,97.0,0.19,0.13,0.32,0.19,0.32,0.25,0.18,0.44,0.25,0.44,3,4.317692900505383,0.7681227806202183,7.234177179749849,0.6322600539849912,0.7273639626296502
