Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Joan García,es ESP,GK,24-223,10,10,900,10.0,9,0.9,29,20,75.9,9,1,0,4,40.0,2,2,0,0,0.0,Matches
Wojciech Szczęsny,pl POL,GK,35-239,6,6,540,6.0,11,1.83,27,15,63.0,4,0,2,0,0.0,2,1,1,0,50.0,Matches
Squad Total,,,25.3,16,16,1440,16.0,20,1.25,56,35,69.6,13,1,2,4,25.0,4,3,1,0,25.0,
Opponent Total,,,28.0,16,16,1440,16.0,47,2.94,120,74,63.3,2,1,13,0,0.0,5,3,0,2,0.0,
