Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Player,Span,Nation,Pos,Squad,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Iñigo Martínez,2024-25,es ESP,DF,Barcelona,27.7,45,1.63,38,1,1,3,2,0,9,0.33,6,1,1,0,1,0
Nico Schlotterbeck,2024-25,de GER,DF,Dortmund,22.0,50,2.27,41,4,1,2,1,1,6,0.27,4,2,0,0,0,0
