match_id,match_url,date,season,competition,opponent,home_away,goals_for,goals_against,xG_for,xG_against,posesion
64fa5074,https://fbref.com/en/matches/64fa5074/Mallorca-Barcelona-August-16-2025-La-Liga,2025-08-16,2025-2026,La Liga,Mallorca,Away,3.0,0.0,2.1,0.2,70.0
28628853,https://fbref.com/en/matches/28628853/Levante-Barcelona-August-23-2025-La-Liga,2025-08-23,2025-2026,La Liga,Levante,Away,3.0,2.0,1.9,1.8,81.0
38c8e28a,https://fbref.com/en/matches/38c8e28a/Rayo-Vallecano-Barcelona-August-31-2025-La-Liga,2025-08-31,2025-2026,La Liga,Rayo Vallecano,Away,1.0,1.0,1.8,1.8,56.0
2ed529d8,https://fbref.com/en/matches/2ed529d8/Barcelona-Valencia-September-14-2025-La-Liga,2025-09-14,2025-2026,La Liga,Valencia,Home,6.0,0.0,3.9,0.1,71.0
53708b73,https://fbref.com/en/matches/53708b73/Newcastle-United-Barcelona-September-18-2025-Champions-League,2025-09-18,2025-2026,Champions Lg,eng Newcastle Utd,Away,2.0,1.0,1.1,1.2,63.0
0c64b4c3,https://fbref.com/en/matches/0c64b4c3/Barcelona-Getafe-September-21-2025-La-Liga,2025-09-21,2025-2026,La Liga,Getafe,Home,3.0,0.0,2.0,0.2,70.0
fa8efe81,https://fbref.com/en/matches/fa8efe81/Oviedo-Barcelona-September-25-2025-La-Liga,2025-09-25,2025-2026,La Liga,Oviedo,Away,3.0,1.0,2.0,1.0,78.0
65ee8953,https://fbref.com/en/matches/65ee8953/Barcelona-Real-Sociedad-September-28-2025-La-Liga,2025-09-28,2025-2026,La Liga,Real Sociedad,Home,2.0,1.0,2.2,1.0,74.0
01f948be,https://fbref.com/en/matches/01f948be/Barcelona-Paris-Saint-Germain-October-1-2025-Champions-League,2025-10-01,2025-2026,Champions Lg,fr Paris S-G,Home,1.0,2.0,1.3,1.7,47.0
bc939aab,https://fbref.com/en/matches/bc939aab/Sevilla-Barcelona-October-5-2025-La-Liga,2025-10-05,2025-2026,La Liga,Sevilla,Away,1.0,4.0,2.2,2.8,60.0
e1d1e807,https://fbref.com/en/matches/e1d1e807/Barcelona-Girona-October-18-2025-La-Liga,2025-10-18,2025-2026,La Liga,Girona,Home,2.0,1.0,1.6,1.7,67.0
d1cd53ab,https://fbref.com/en/matches/d1cd53ab/Barcelona-Olympiacos-October-21-2025-Champions-League,2025-10-21,2025-2026,Champions Lg,gr Olympiacos,Home,6.0,1.0,2.6,1.0,72.0
