Player;Nation;Pos;Squad;Comp;Age;Born;Playing Time_MP;Playing Time_Starts;Playing Time_Min;Playing Time_90s;Performance_Gls;Performance_Ast;Performance_G+A;Performance_G-PK;Performance_PK;Performance_PKatt;Performance_CrdY;Performance_CrdR;Expected_xG;Expected_npxG;Expected_xAG;Expected_npxG+xAG;Progression_PrgC;Progression_PrgP;Progression_PrgR;Per 90 Minutes_Gls;Per 90 Minutes_Ast;Per 90 Minutes_G+A;Per 90 Minutes_G-PK;Per 90 Minutes_G+A-PK;Per 90 Minutes_xG;Per 90 Minutes_xAG;Per 90 Minutes_xG+xAG;Per 90 Minutes_npxG;Per 90 Minutes_npxG+xAG;cluster;distance_to_lamine;is_target;replacement_score;is_replacement_candidate
Vinicius Júnior;br BRA;FW,MF;Real Madrid;es La Liga;25-191;2000.0;20;17;1491;16.6;5;5;10;4;1;2;4;0;6.4;4.9;3.4;8.3;123.0;69.0;227.0;0.3;0.3;0.6;0.24;0.54;0.41;0.22;0.63;0.31;0.53;3;3.163471526752899;False;0.5247071603152706;True
Ilan Kebbal;dz ALG;FW,MF;Paris FC;fr Ligue 1;27-194;1998.0;17;17;1490;16.6;7;4;11;5;2;2;3;0;4.2;2.7;2.9;5.6;60.0;112.0;110.0;0.42;0.24;0.66;0.3;0.54;0.27;0.19;0.46;0.17;0.36;3;3.838526026836739;False;0.6563380392371723;True
Takefusa Kubo;jp JPN;MF,FW;Real Sociedad;es La Liga;24-229;2001.0;18;13;1179;13.1;2;3;5;2;0;0;0;0;2.3;2.3;3.0;5.3;60.0;38.0;109.0;0.15;0.23;0.38;0.15;0.38;0.19;0.24;0.43;0.19;0.43;3;3.9431494612930797;False;0.6045163129095392;True
Mohammed Kudus;gh GHA;FW,MF;Tottenham Hotspur;eng Premier League;25-170;2000.0;19;19;1535;17.1;2;5;7;2;0;0;3;0;1.9;1.9;2.8;4.7;58.0;42.0;134.0;0.12;0.29;0.41;0.12;0.41;0.11;0.17;0.28;0.11;0.28;3;4.543467010252511;False;0.8031969390987135;True
Khvicha Kvaratskhelia;ge GEO;FW;Paris Saint-Germain;fr Ligue 1;24-341;2001.0;15;9;749;8.3;3;3;6;3;0;0;1;0;2.2;2.2;2.3;4.5;43.0;33.0;107.0;0.36;0.36;0.72;0.36;0.72;0.29;0.3;0.59;0.29;0.59;3;3.992848163664932;False;0.47424385518471196;True
Kylian Mbappé;fr FRA;FW;Real Madrid;es La Liga;27-030;1998.0;19;19;1660;18.4;19;4;23;13;6;7;3;0;15.7;11.0;5.5;16.5;73.0;81.0;167.0;1.03;0.22;1.25;0.7;0.92;0.9;0.31;1.22;0.63;0.95;3;4.784675746406113;False;0.8744703376687032;True
Yankuba Minteh;gm GAM;FW;Brighton;eng Premier League;21-181;2004.0;19;18;1541;17.1;1;4;5;1;0;0;0;0;2.7;2.7;4.5;7.2;82.0;25.0;174.0;0.06;0.23;0.29;0.06;0.29;0.16;0.26;0.42;0.16;0.42;3;3.561439559809346;False;0.6126114088743216;True
Diego Moreira;be BEL;DF,FW;Strasbourg;fr Ligue 1;21-166;2004.0;17;15;1307;14.5;2;2;4;2;0;0;3;0;0.8;0.8;4.1;4.9;43.0;60.0;130.0;0.14;0.14;0.28;0.14;0.28;0.06;0.3;0.36;0.06;0.36;3;4.333441820174552;False;0.7125491804957772;True
Jacob Murphy;eng ENG;FW;Newcastle United;eng Premier League;30-329;1995.0;18;12;1010;11.2;2;1;3;2;0;0;0;0;2.8;2.8;3.5;6.3;30.0;36.0;128.0;0.18;0.09;0.27;0.18;0.27;0.25;0.31;0.56;0.25;0.56;3;4.253885707456823;False;0.6174596643035972;True
Pedro Neto;pt POR;FW;Chelsea;eng Premier League;25-316;2000.0;22;20;1729;19.2;5;3;8;5;0;0;2;0;3.6;3.6;4.0;7.6;86.0;55.0;160.0;0.26;0.16;0.42;0.26;0.42;0.2;0.22;0.42;0.2;0.42;3;2.9118100022061753;False;0.5212716307525213;True
Michael Olise;fr FRA;FW;Bayern Munich;de Bundesliga;24-038;2001.0;18;14;1370;15.2;10;13;23;10;0;0;3;0;7.1;7.1;9.2;16.4;88.0;93.0;199.0;0.66;0.85;1.51;0.66;1.51;0.51;0.66;1.17;0.51;1.17;3;3.9579190942873224;False;0.6537392693256836;True
Mikel Oyarzabal;es ESP;FW;Real Sociedad;es La Liga;28-273;1997.0;17;17;1497;16.6;6;3;9;3;3;3;2;0;7.2;4.8;3.7;8.5;32.0;47.0;91.0;0.36;0.18;0.54;0.18;0.36;0.46;0.24;0.69;0.31;0.54;3;4.50293799188795;False;0.7875442188262539;True
Nicolas Pépé;ci CIV;FW,MF;Villarreal;es La Liga;30-235;1995.0;18;11;1052;11.7;2;2;4;2;0;0;2;0;5.0;5.0;2.9;7.9;60.0;60.0;98.0;0.17;0.17;0.34;0.17;0.34;0.44;0.25;0.69;0.44;0.69;3;3.2755299624281675;False;0.43895905359308013;True
Matteo Politano;it ITA;MF,FW;Napoli;it Serie A;32-169;1993.0;21;15;1311;14.6;0;3;3;0;0;0;1;0;1.4;1.4;2.6;4.0;76.0;38.0;114.0;0.0;0.21;0.21;0.0;0.21;0.11;0.2;0.3;0.11;0.3;3;4.234237867206929;False;0.6941177885547554;True
Marcus Rashford;eng ENG;FW;Barcelona;es La Liga;28-080;1997.0;19;12;1138;12.6;3;6;9;3;0;0;2;0;4.0;4.0;3.2;7.2;52.0;38.0;161.0;0.24;0.47;0.71;0.24;0.71;0.32;0.26;0.59;0.32;0.59;3;3.3487454039706797;False;0.4775065709214809;True
Jesus Rodríguez;es ESP;FW;Como;it Serie A;20-059;2005.0;17;11;1082;12.0;0;6;6;0;0;0;1;1;2.1;2.1;3.7;5.9;78.0;30.0;114.0;0.0;0.5;0.5;0.0;0.5;0.18;0.32;0.5;0.18;0.5;3;3.3051878834131325;False;0.45342791915382685;True
Morgan Rogers;eng ENG;FW,MF;Aston Villa;eng Premier League;23-177;2002.0;22;22;1957;21.7;7;4;11;7;0;0;4;0;3.4;3.4;3.2;6.6;49.0;68.0;133.0;0.32;0.18;0.51;0.32;0.51;0.16;0.16;0.32;0.16;0.32;3;4.370136004496342;False;0.8443210231440808;True
Bukayo Saka;eng ENG;FW;Arsenal;eng Premier League;24-136;2001.0;20;16;1456;16.2;4;3;7;3;1;1;1;0;5.3;4.6;4.9;9.4;77.0;39.0;205.0;0.25;0.19;0.43;0.19;0.37;0.34;0.31;0.65;0.29;0.6;3;2.8881679079214475;False;0.46360849886093225;True
Mohamed Salah;eg EGY;FW,MF;Liverpool;eng Premier League;33-218;1992.0;14;12;1183;13.1;4;3;7;3;1;1;1;0;4.5;3.8;3.0;6.7;51.0;63.0;169.0;0.3;0.23;0.53;0.23;0.46;0.35;0.22;0.57;0.29;0.51;3;3.2507594061615066;False;0.47033796295134633;True
Romano Schmid;at AUT;MF,FW;Werder Bremen;de Bundesliga;25-357;2000.0;17;17;1484;16.5;2;5;7;0;2;3;4;0;3.8;1.4;5.1;6.5;38.0;90.0;99.0;0.12;0.3;0.42;0.0;0.3;0.26;0.35;0.61;0.1;0.45;3;3.837647651264423;False;0.6549210493096345;True
