Rk,Nation,# Players,Min,List
1.0,es Spain,389.0,174238.0,"Lamine Yamal, Ferrán Torres, Pablo Fornals, Mikel Oyarzabal, Luis Milla, Alberto Moleiro, Rafa Mir, Carlos Romero, Roberto Férnandez, Pep Chavarría ..."
2.0,fr France,23.0,12731.0,"Kylian Mbappé, Florian Lejeune, Jules Koundé, Aurélien Tchouaméni, Lucien Agoume, Antoine Griezmann, Haissem Hassan, Baptiste Santamaria, Batista Mendy, Clément Lenglet ..."
3.0,ar Argentina,22.0,14300.0,"Julián Álvarez, Giuliano Simeone, Nahuel Tenaglia, Augusto Batalla, Paulo Gazzaniga, Giovani Lo Celso, Lucas Boyé, Nicolás González, Valentín Gómez, Santiago Colombatto ..."
4.0,ma Morocco,14.0,5675.0,"Abde Ezzalzouli, Omar El Hilali, Azzedine Ounahi, Ilyas Chaira, Abdel Abqar, Sofyan Amrabat, Brahim Díaz, Maroan Sannadi, Ismael Bekhoucha, Ilias Akhomach ..."
,,,,View Complete Nationalities Table
